id,product_id,user_id,score,summary,review
1,B1,U1,5,Good Quality Dog Food,I have bought several of the Vitality canned dog food products and have found them all to be of good
2,B2,U2,1,Not as Advertised,Product arrived labeled as Jumbo Salted Peanuts...the peanuts were actually small sized unsalted.
3,B2,U3,4,"""Delight"" says it all","This is a confection that has been around a few centuries. It is a light, pillowy citrus gelatin"
4,B2,U4,2,Cough Medicine,If you are looking for the secret ingredient in Robitussin I believe I have found it.
5,B1,U5,5,Great taffy,Great taffy at a great price. There was a wide assortment of yummy taffy. Delivery was very quick
6,B1,U6,4,Nice Taffy,I got a wild hair for taffy and ordered this five pound bag. The taffy was all very enjoyable
7,B3,U7,5,Great! Just as good as the expensive brands!,This saltwater taffy had great flavors and was very soft and chewy.
8,B3,U8,5,"Wonderful, tasty taffy",This taffy is so good. It is very soft and chewy. The flavors are amazing.
9,B3,U9,1,My Cats Are Not Fans of the New Food,My cats have been happily eating Felidae Platinum for more than two years.
10,B1,U10,5,Healthy Dog Food,This is a very healthy dog food. Good for their digestion. Also good for small puppies.
